Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link
Rush Sale! 3Bedroom Condo Unit in McKinley Garden Villas 19Million,"McKinley Hill, Taguig",Condominium,"Condominium,3-bedroom",None,128,None,3,2,121.0553,14.53712,McKinley Garden Villas,19000000,https://www.lamudi.com.ph/rush-sale-3bedroom-condo-unit-in-mckinley-garden-v-166132665343.html
Starts at 13K/MO Pre Selling House & Lot in Bulacan/Pampanga - Single Detached,"Sapang Maisac, Mexico",House,"House,single-family-house",101,60,None,3,2,120.665111,15.169115,None,3700000,https://www.lamudi.com.ph/starts-at-13k-mo-pre-selling-house-lot-in-bulacan-16612669351.html
Pretty Bungalow House in Catalunan Grande Davao City,"Catalunan Grande, Davao",House,"House,single-family-house",100,75,None,3,2,125.5343474,7.0909386,None,3790000,https://www.lamudi.com.ph/pretty-bungalow-house-in-catalunan-grande-davao-ci-166126455849.html
Narvacan Ilocos Sur Farm lot For Sale (Along Brgy. Road),"Margaay, Narvacan",Land,"Land,agricutural-lot",6132,None,None,None,None,120.470266,17.43068,None,3066000,https://www.lamudi.com.ph/narvacan-farm-lot-for-sale-along-brgy-road-166126427180.html
Re-Opened Prime Beach Lot in Playa Laiya,"Laiya-Aplaya, San Juan",Land,"Land,beach-lot",537,None,None,None,None,121.379905,13.691466,None,20191200,https://www.lamudi.com.ph/re-opened-prime-beach-lot-in-playa-laiya-166123176043.html
"Interior Decorated 3 Bedroom Unit for Sale in The Peak Tower, Makati City","Salcedo Village, Makati",Condominium,"Condominium,3-bedroom",None,162,None,3,3,121.0206028,14.5596699,The Peak,29500000,https://www.lamudi.com.ph/interior-decorated-3-bedroom-unit-for-sale-in-the-16612243031.html
RUSH SALE! Residential Lot in Vista Grande,"Bulacao, Talisay",Land,"Land,residential-lot",511,None,None,None,None,123.832558,10.2650223,None,2033000,https://www.lamudi.com.ph/rush-sale-residential-lot-in-vista-grande-166121860491.html
"Acropolis Loyola | Lots for Sale in Matandang Balara, Quezon City","Matandang Balara, Quezon City",Land,"Land,residential-lot",300,None,None,None,None,122.2664748,14.5353804,None,80000000,https://www.lamudi.com.ph/acropolis-loyola-10-discount-hurry-up-commercial-166117642433.html
Brand New Spacious Modern Two Storey House For Sale in San Fernando,"Telabastagan, San Fernando",House,"House,single-family-house",240,440,2,4,5,120.635072,15.10712,None,19700000,https://www.lamudi.com.ph/brand-new-spacious-modern-two-storey-house-for-sal-166117196865.html
"Pre Selling Residential Farm Lot for sale in Antipolo, Rizal, Laguna","Antipolo, Rizal",Land,"Land,residential-lot",350,None,None,None,None,121.380557,14.114565,None,1960000,https://www.lamudi.com.ph/pre-selling-residential-farm-lot-166116635178.html
